,age,sex,income,height,city,education,children
0,82,Female,62297,1.96,Phoenix,No especificado,0
1,15,Female,38674,1.83,New York,PhD,4
3,95,Male,29759,1.77,Chicago,PhD,4
4,36,Male,99938,1.78,Phoenix,PhD,5
6,29,Female,75609,1.59,Chicago,Master,4
11,95,Male,96068,1.71,Houston,No especificado,5
12,70,Male,94801,1.75,Houston,Master,4
13,12,Female,28046,1.91,Los Angeles,No especificado,5
15,55,Male,80718,1.67,New York,Master,5
16,5,Female,50315,1.91,Chicago,PhD,4
17,4,Female,22593,1.95,Houston,Bachelor,0
18,12,Female,34145,1.8,Los Angeles,No especificado,1
19,28,Male,22695,1.79,Los Angeles,Master,5
20,30,Female,83671,1.95,New York,Master,0
22,78,Female,29311,1.81,Houston,Master,2
23,4,Female,92847,1.57,Los Angeles,Bachelor,3
24,72,Female,88317,1.9,Phoenix,No especificado,5
25,26,Female,73978,1.54,New York,Bachelor,1
26,92,Male,24141,1.76,New York,Master,0
27,84,Female,28276,1.88,Chicago,Bachelor,5
28,90,Male,75738,1.95,Chicago,No especificado,0
29,70,Female,20669,1.95,Houston,Bachelor,5
30,54,Female,21123,1.95,Houston,Master,3
31,29,Male,52039,1.79,Phoenix,Master,5
32,58,Female,53514,1.72,Chicago,No especificado,0
33,76,Female,66416,1.71,Los Angeles,PhD,4
34,36,Female,74937,1.57,Phoenix,Master,4
35,1,Female,26377,1.83,New York,PhD,1
36,98,Male,69873,1.51,New York,No especificado,2
37,21,Male,36936,1.53,New York,Bachelor,3
38,90,Male,91992,1.79,Houston,Bachelor,4
39,55,Female,89101,1.55,Los Angeles,Bachelor,1
41,36,Female,74461,1.84,Houston,Bachelor,1
42,20,Female,70142,1.64,Houston,PhD,4
43,28,Female,72634,1.88,New York,Master,4
44,98,Female,57902,1.55,Phoenix,Master,4
45,44,Female,64286,1.64,New York,Master,5
46,14,Male,38642,1.6,Chicago,No especificado,4
48,49,Male,80258,1.57,Phoenix,No especificado,1
49,13,Male,36831,1.83,Houston,PhD,5
50,46,Male,66237,1.85,Los Angeles,PhD,0
51,45,Male,45428,1.82,Chicago,PhD,3
53,34,Male,26314,1.77,Houston,PhD,2
54,6,Male,20049,1.55,Phoenix,No especificado,3
55,94,Male,20726,1.98,Phoenix,Bachelor,4
56,59,Male,92046,1.9,New York,PhD,1
57,69,Female,66963,1.95,Los Angeles,No especificado,3
58,16,Male,53119,1.8,Houston,Bachelor,5
59,49,Female,97530,1.6,New York,Master,5
60,11,Female,86420,1.54,Houston,No especificado,0
61,71,Male,92119,1.82,New York,No especificado,5
62,38,Female,90564,1.63,Phoenix,PhD,1
63,81,Male,34472,1.7,New York,PhD,4
64,80,Female,24521,1.9,Chicago,No especificado,5
66,74,Male,66724,1.63,Chicago,No especificado,5
68,91,Male,94012,1.78,Phoenix,Master,3
71,85,Male,39830,1.7,Houston,No especificado,1
72,30,Male,43410,1.8,Chicago,Bachelor,3
73,99,Female,54303,1.6,Phoenix,PhD,2
74,38,Female,50497,1.6,Phoenix,No especificado,5
75,11,Male,32872,1.73,Houston,Master,2
76,30,Male,87387,1.77,Chicago,No especificado,0
77,13,Male,82283,1.51,Phoenix,Bachelor,0
78,49,Male,32858,1.58,Phoenix,No especificado,3
80,59,Female,85529,1.69,Los Angeles,Master,0
81,82,Female,25212,1.94,Chicago,Master,2
82,47,Male,32986,1.77,Houston,Master,3
83,21,Male,57136,1.69,Houston,PhD,1
84,48,Female,37757,1.51,New York,PhD,1
85,46,Female,91495,1.77,New York,Bachelor,3
86,27,Female,20173,1.81,Houston,PhD,3
87,86,Male,56236,1.58,Houston,No especificado,1
88,35,Female,78835,1.72,Chicago,Master,2
89,90,Male,66525,1.56,Houston,Master,1
90,88,Male,98608,1.89,New York,Bachelor,5
91,83,Male,49139,1.98,Chicago,Master,1
92,10,Female,55317,1.65,Chicago,No especificado,0
93,78,Female,97162,1.52,Chicago,No especificado,0
94,82,Female,45820,1.59,Chicago,Bachelor,1
95,22,Female,47964,1.91,Chicago,Bachelor,0
96,69,Male,50874,1.86,Chicago,No especificado,2
97,94,Female,30789,1.8,Los Angeles,Bachelor,5
98,32,Male,26698,1.8,New York,PhD,4
99,21,Male,57602,1.96,Houston,No especificado,5
100,60,Female,24980,1.79,New York,Bachelor,1
101,49,Male,80132,1.91,Los Angeles,Bachelor,1
102,35,Male,66628,1.85,Houston,No especificado,5
103,82,Male,84355,1.83,Los Angeles,Master,2
104,89,Male,64096,1.87,Chicago,No especificado,2
106,29,Female,83106,1.64,Los Angeles,Bachelor,3
107,88,Female,24620,1.91,Los Angeles,Bachelor,3
108,42,Female,68937,1.85,Phoenix,PhD,5
109,99,Female,36507,1.82,Chicago,PhD,1
110,100,Female,56504,1.96,Chicago,Master,4
112,30,Female,42064,1.55,Houston,Bachelor,3
113,5,Female,69586,1.66,Los Angeles,Master,1
114,41,Male,42819,1.95,New York,Master,2
117,9,Female,29834,1.84,Phoenix,PhD,2
118,28,Female,87598,1.81,New York,No especificado,0
119,73,Male,72596,1.55,Los Angeles,No especificado,3
120,92,Female,51294,1.56,Houston,Master,2
121,41,Male,51056,1.78,Phoenix,No especificado,3
122,28,Male,44335,1.85,Phoenix,Bachelor,3
124,64,Female,32332,1.89,New York,PhD,1
125,51,Male,97109,1.98,Los Angeles,Bachelor,4
126,83,Female,20352,1.92,Houston,Bachelor,2
127,59,Male,62298,1.99,New York,Bachelor,0
128,19,Male,46147,1.81,Chicago,PhD,5
129,34,Female,46946,1.85,Los Angeles,Master,4
130,18,Female,42020,1.77,Chicago,Master,4
131,32,Male,61101,1.65,Houston,Master,2
132,96,Female,24000,1.64,New York,PhD,5
133,72,Male,31359,1.82,Los Angeles,No especificado,0
134,69,Female,66096,1.56,New York,Bachelor,3
135,34,Male,90458,1.64,Chicago,No especificado,3
136,96,Male,23505,1.52,New York,Master,3
137,75,Male,73471,1.59,Chicago,PhD,1
138,55,Male,79609,1.75,Chicago,Bachelor,1
139,75,Female,54875,1.58,Chicago,PhD,5
141,47,Male,79113,1.83,Chicago,No especificado,0
142,29,Female,57830,1.87,Chicago,No especificado,0
143,18,Male,61054,1.64,Chicago,Bachelor,0
145,64,Male,61802,1.86,New York,Bachelor,4
146,12,Female,38334,1.6,Chicago,No especificado,1
147,97,Male,46549,1.77,Chicago,Master,3
148,7,Male,59250,1.61,Los Angeles,PhD,1
149,15,Male,26336,1.97,New York,PhD,1
150,20,Male,84235,1.59,Chicago,Bachelor,3
151,81,Male,78236,1.86,Houston,No especificado,4
152,21,Female,88688,1.63,Houston,PhD,3
153,88,Male,25234,1.61,New York,Bachelor,4
154,55,Female,53096,1.56,New York,Master,3
155,77,Female,64763,1.85,Chicago,No especificado,2
156,9,Male,22048,1.97,New York,No especificado,3
157,50,Male,23048,1.62,Houston,No especificado,2
158,49,Male,75776,1.78,Phoenix,Master,1
159,77,Female,88010,1.57,New York,Master,2
160,60,Male,95576,2.0,Phoenix,Master,5
162,33,Female,89453,1.6,Chicago,Master,5
163,71,Male,95579,1.68,Chicago,No especificado,0
165,88,Female,73560,1.64,Chicago,Bachelor,2
166,93,Female,80024,1.54,Chicago,No especificado,4
167,15,Female,38197,1.6,Phoenix,No especificado,5
168,88,Female,54297,1.66,New York,Master,0
169,69,Male,82406,1.83,Phoenix,PhD,4
170,97,Female,20107,1.64,Los Angeles,PhD,2
171,35,Male,61096,1.79,Phoenix,PhD,5
172,99,Female,35065,1.56,Phoenix,No especificado,1
173,83,Male,94108,1.93,Houston,Master,4
174,44,Female,34093,1.59,Los Angeles,No especificado,4
175,15,Female,42808,1.63,Houston,No especificado,3
176,38,Female,33094,1.69,Houston,Master,4
177,56,Female,77302,1.59,Chicago,PhD,2
178,21,Female,54410,1.57,Chicago,Bachelor,0
179,59,Male,73239,1.66,Chicago,Master,5
180,1,Male,58831,1.81,Phoenix,Master,0
181,93,Female,41470,1.67,Houston,Master,4
182,93,Male,56057,1.93,Houston,PhD,5
183,34,Female,88719,1.76,New York,Bachelor,2
184,65,Female,77472,1.6,Chicago,Bachelor,1
185,98,Female,22033,1.57,Los Angeles,Bachelor,1
186,23,Male,60802,1.91,Los Angeles,No especificado,4
187,65,Male,26787,1.71,Chicago,Master,2
188,14,Male,88434,1.6,Los Angeles,PhD,1
189,81,Female,33128,1.66,Houston,No especificado,2
190,39,Female,81382,1.55,New York,Master,2
191,82,Male,86234,1.85,Phoenix,Bachelor,4
192,65,Female,42242,1.75,Chicago,PhD,3
193,78,Female,54495,1.61,Los Angeles,PhD,5
194,26,Female,39751,1.7,Los Angeles,Bachelor,5
195,20,Male,25533,1.84,New York,PhD,3
196,48,Male,70181,1.81,Chicago,PhD,1
197,98,Male,24256,1.77,Los Angeles,PhD,2
198,21,Male,47934,1.58,Chicago,Master,3
199,70,Female,41806,1.76,Houston,PhD,3
200,100,Female,70386,1.75,New York,Bachelor,2
201,68,Male,78113,1.5,Los Angeles,Bachelor,2
202,1,Male,40824,1.83,Los Angeles,Bachelor,0
203,77,Male,44775,1.62,Phoenix,Bachelor,0
204,42,Female,81725,1.98,Houston,No especificado,0
205,63,Female,27877,1.97,Los Angeles,Bachelor,1
206,3,Male,70625,1.99,Los Angeles,Bachelor,2
207,15,Male,54605,1.67,Chicago,Master,4
208,47,Female,93794,1.78,Phoenix,Master,2
209,40,Male,28372,1.56,Los Angeles,No especificado,3
211,8,Male,28799,1.58,Los Angeles,Master,2
212,31,Female,41051,1.66,Chicago,Bachelor,3
213,73,Male,92858,1.84,Chicago,Bachelor,5
214,11,Female,70911,1.57,Los Angeles,Master,4
215,11,Male,49097,1.96,Los Angeles,Bachelor,4
216,94,Female,65518,1.72,Chicago,Master,4
217,63,Female,48421,1.98,Los Angeles,Master,5
218,9,Female,38160,1.89,Phoenix,Bachelor,2
219,98,Male,55497,1.76,Chicago,Bachelor,5
220,69,Female,39868,1.56,New York,PhD,0
222,17,Female,40394,1.95,Chicago,No especificado,5
223,17,Female,62062,1.61,Los Angeles,Master,1
224,85,Female,99508,1.99,Chicago,Bachelor,3
225,61,Female,47218,1.86,Houston,Bachelor,5
226,71,Female,98134,1.68,Houston,Bachelor,0
227,22,Male,84981,1.93,Chicago,PhD,4
229,68,Female,67696,1.61,Houston,Bachelor,3
230,78,Male,88678,1.85,Los Angeles,Master,3
231,55,Male,88527,1.54,Houston,Master,4
232,28,Male,26028,1.98,Los Angeles,Master,3
234,97,Male,50640,1.63,Los Angeles,Master,1
235,94,Female,44326,1.81,Los Angeles,No especificado,2
236,89,Female,66164,1.86,Houston,PhD,5
237,26,Female,22961,1.85,Chicago,Master,4
238,92,Female,77757,1.67,New York,PhD,4
239,40,Male,27165,1.74,Houston,PhD,2
240,52,Female,86039,1.66,Los Angeles,PhD,1
241,86,Female,95948,1.67,Houston,Bachelor,4
242,84,Female,85740,1.9,Phoenix,Master,2
243,48,Male,70722,1.69,Chicago,Bachelor,2
245,67,Male,44795,1.65,Phoenix,Master,1
246,58,Male,26013,1.87,New York,Bachelor,0
247,16,Male,63647,1.78,Los Angeles,Master,5
248,32,Female,92653,1.57,Chicago,No especificado,1
249,29,Female,24066,1.89,Los Angeles,No especificado,4
250,9,Male,35486,1.99,Phoenix,PhD,1
251,44,Female,51538,1.62,New York,Master,4
252,3,Male,47032,1.87,Los Angeles,No especificado,1
253,76,Male,84007,1.72,Chicago,PhD,4
254,71,Male,49780,1.61,Phoenix,PhD,4
255,30,Male,85074,1.51,Chicago,PhD,3
256,76,Female,25140,1.52,Chicago,Bachelor,4
257,29,Male,85116,1.73,Houston,PhD,2
258,1,Female,44688,1.7,Chicago,PhD,2
260,91,Male,60216,1.65,Phoenix,PhD,4
261,81,Male,33909,1.85,Houston,No especificado,1
262,8,Female,73631,1.68,New York,No especificado,2
263,30,Female,39860,1.51,Phoenix,No especificado,1
264,9,Male,92691,1.92,Los Angeles,PhD,1
265,5,Male,92335,1.62,New York,Master,4
266,43,Male,65443,1.59,New York,PhD,3
267,10,Male,78962,1.71,Houston,Master,1
268,66,Male,54556,1.73,Phoenix,No especificado,5
270,36,Male,46249,1.73,Phoenix,PhD,2
272,63,Male,85128,1.61,New York,No especificado,0
274,70,Male,56819,1.64,Chicago,Bachelor,3
275,17,Male,90645,1.58,Los Angeles,Bachelor,3
276,93,Female,23164,1.64,New York,Master,2
278,74,Female,92091,1.77,Chicago,PhD,1
279,61,Female,68253,1.95,Phoenix,No especificado,0
280,32,Male,55432,1.99,Phoenix,No especificado,4
281,61,Female,46505,1.89,New York,PhD,3
282,53,Male,89294,1.55,Los Angeles,Bachelor,3
283,25,Female,46230,1.8,Los Angeles,Master,3
284,13,Male,33025,1.85,New York,No especificado,5
287,56,Male,59292,1.67,New York,No especificado,5
288,46,Male,84002,1.84,New York,No especificado,5
289,55,Female,42990,1.65,Phoenix,PhD,5
290,53,Female,54813,1.74,New York,No especificado,3
291,60,Male,29345,1.82,Chicago,Master,0
292,94,Female,26862,1.51,Chicago,Master,3
293,7,Male,44887,1.51,Phoenix,No especificado,3
294,87,Female,64543,1.69,Phoenix,Master,5
295,84,Female,28808,1.89,New York,PhD,1
296,83,Male,86565,1.52,Chicago,Master,4
298,8,Female,64407,1.94,Los Angeles,Bachelor,2
299,52,Female,66753,1.7,Phoenix,No especificado,4
300,94,Male,58387,1.9,Houston,Master,1
302,14,Male,68973,1.98,New York,PhD,2
303,32,Male,41719,1.94,Chicago,Master,1
304,25,Female,92086,1.51,Houston,Bachelor,1
305,25,Male,35741,1.59,Los Angeles,Master,1
306,69,Female,50938,1.99,Los Angeles,Master,1
307,58,Female,83944,1.74,New York,No especificado,3
308,18,Male,43510,1.7,Chicago,No especificado,5
309,55,Male,99643,1.76,Houston,Master,3
310,24,Female,53220,1.78,Phoenix,Bachelor,5
311,36,Female,70664,1.92,Los Angeles,Bachelor,1
312,60,Female,93418,1.77,Phoenix,Master,4
313,32,Female,29673,1.59,Los Angeles,No especificado,5
315,57,Female,75914,1.85,Los Angeles,Bachelor,5
316,71,Female,61777,1.52,New York,Master,3
317,13,Female,46168,1.92,Los Angeles,Master,3
319,84,Male,60619,1.93,Phoenix,No especificado,3
320,70,Female,92779,1.55,Los Angeles,PhD,3
321,2,Male,33172,1.75,Los Angeles,No especificado,2
322,12,Male,34262,1.91,Houston,No especificado,1
323,97,Female,99939,2.0,Chicago,No especificado,3
325,22,Female,39595,1.62,Los Angeles,No especificado,3
326,53,Male,92168,1.72,Los Angeles,Master,0
327,63,Female,91715,1.91,Phoenix,No especificado,1
328,62,Female,39655,1.93,New York,PhD,2
329,28,Female,93123,1.66,Phoenix,PhD,1
330,52,Female,40300,1.87,New York,PhD,3
331,8,Male,36553,1.8,New York,Bachelor,4
332,22,Male,33927,1.96,Houston,Master,1
333,49,Male,40937,1.97,New York,PhD,0
334,1,Female,85825,1.66,New York,Master,2
335,50,Male,38300,1.98,Houston,Bachelor,1
336,34,Female,71458,1.84,Houston,No especificado,5
337,59,Male,44806,1.66,Phoenix,Bachelor,1
338,37,Female,37759,1.87,Chicago,No especificado,0
339,55,Male,48077,1.58,Los Angeles,Master,1
340,90,Female,74385,1.51,Houston,Bachelor,1
341,94,Male,68640,1.79,Los Angeles,PhD,4
342,72,Female,54912,1.52,New York,No especificado,5
343,85,Female,67377,1.63,Los Angeles,PhD,1
344,92,Male,58849,1.52,Chicago,Master,4
345,63,Male,22318,1.76,Chicago,No especificado,5
346,20,Male,60176,1.51,Chicago,Bachelor,2
347,25,Male,23396,1.52,Los Angeles,PhD,1
348,38,Male,97195,1.67,Chicago,Master,1
349,28,Male,44622,1.82,Los Angeles,No especificado,2
350,8,Female,82139,1.66,Los Angeles,No especificado,1
351,75,Female,24878,1.79,Los Angeles,Master,5
352,95,Male,86318,1.65,Chicago,Master,0
353,70,Male,59977,1.56,Chicago,Master,1
354,8,Male,82504,1.98,Los Angeles,No especificado,1
355,96,Male,59558,1.72,Los Angeles,Bachelor,1
356,41,Female,60307,1.54,Houston,PhD,3
357,8,Male,24649,1.51,Chicago,Bachelor,5
358,7,Female,92081,1.59,Phoenix,No especificado,5
359,75,Female,41111,1.71,Houston,Master,0
360,62,Male,28183,1.87,Houston,Master,5
361,65,Female,38811,1.8,Chicago,No especificado,5
362,68,Male,63898,1.82,Houston,Bachelor,3
363,21,Female,32729,1.65,New York,No especificado,3
364,8,Male,45760,1.89,Phoenix,PhD,1
365,66,Male,66341,1.65,Houston,Bachelor,4
366,11,Male,29583,1.78,Houston,No especificado,2
367,24,Female,48721,1.6,Phoenix,PhD,4
368,9,Female,22112,1.52,Los Angeles,No especificado,4
370,9,Female,74503,1.71,Phoenix,PhD,2
371,87,Male,84462,1.77,New York,Master,3
372,31,Male,70315,1.62,Houston,PhD,3
373,52,Male,46459,1.96,Los Angeles,Bachelor,1
374,16,Male,35770,1.51,Phoenix,PhD,2
376,32,Male,92618,1.99,Phoenix,Master,5
377,75,Male,51652,1.88,Los Angeles,PhD,2
379,6,Female,88109,1.6,New York,PhD,4
380,80,Male,71930,1.91,Phoenix,Bachelor,3
381,11,Male,89014,1.67,Chicago,PhD,3
382,54,Male,53870,1.72,Phoenix,PhD,1
383,85,Male,35868,1.74,Phoenix,Bachelor,1
384,75,Female,96054,1.93,Phoenix,PhD,1
385,73,Male,52613,1.79,Houston,No especificado,1
386,67,Male,80007,1.76,New York,Bachelor,3
387,41,Male,24242,1.67,New York,Bachelor,0
388,34,Male,56622,1.61,Los Angeles,Master,4
389,27,Female,47626,1.84,New York,PhD,2
390,86,Male,46760,1.99,New York,No especificado,1
391,92,Female,23974,1.76,Los Angeles,PhD,1
393,31,Female,43031,1.86,Phoenix,PhD,4
394,34,Female,65250,1.67,Phoenix,Bachelor,0
395,51,Male,35113,1.88,New York,PhD,2
396,17,Female,64401,1.57,Chicago,No especificado,3
397,86,Female,72606,1.69,New York,Bachelor,2
398,83,Male,47268,1.74,Phoenix,Bachelor,1
399,39,Male,58161,1.94,Phoenix,Master,0
400,59,Female,62074,1.95,Houston,Bachelor,0
401,41,Female,22204,1.61,New York,Bachelor,0
402,97,Male,28630,1.89,Phoenix,Bachelor,4
403,10,Male,21724,1.62,Los Angeles,No especificado,5
406,80,Male,42133,1.63,New York,No especificado,3
408,13,Male,32317,1.58,Phoenix,Master,2
409,10,Male,55465,1.87,Los Angeles,PhD,5
410,69,Male,41011,1.76,Houston,PhD,2
411,28,Male,86306,1.82,Houston,No especificado,4
412,65,Female,59687,1.96,New York,Master,2
413,34,Female,99139,1.85,Houston,Master,3
414,17,Male,92351,1.77,Houston,PhD,4
415,45,Male,91518,1.87,Los Angeles,Bachelor,2
416,9,Male,99478,1.97,Chicago,Master,5
417,32,Female,82922,1.62,New York,Master,2
419,37,Male,89693,1.99,New York,Bachelor,3
420,21,Male,93480,1.64,Houston,PhD,0
421,57,Female,75617,1.83,Houston,PhD,5
422,70,Male,26401,1.74,Los Angeles,Bachelor,0
423,91,Male,20809,1.88,Chicago,No especificado,4
426,84,Male,83472,1.79,Houston,No especificado,4
427,68,Male,56827,1.63,Chicago,No especificado,1
428,2,Female,92152,1.81,Houston,Bachelor,0
429,86,Female,46685,1.68,New York,Master,2
430,71,Male,53141,1.73,Houston,Bachelor,2
431,39,Female,78378,1.71,Chicago,PhD,1
